[Train] Iter 980/5000 | Time: 12.75s | Batch_OA: 95.34 | Batch_mIoU: 48.40 | CE_loss: 0.310
[Train] Iter 990/5000 | Time: 12.54s | Batch_OA: 95.46 | Batch_mIoU: 48.69 | CE_loss: 0.320
[Train] Iter 1000/5000 | Time: 12.66s | Batch_OA: 94.59 | Batch_mIoU: 48.17 | CE_loss: 0.287
Validating..........
===>fire Precision: 42.89
===>fire Recall: 43.07
===>fire IoU: 27.37
===>fire F1: 42.98
===> mIoU: 70.44 mean F1: 70.44 OA: 95.94
Save Model
[Train] Iter 1010/5000 | Time: 10.77s | Batch_OA: 95.71 | Batch_mIoU: 48.42 | CE_loss: 0.370
[Train] Iter 1020/5000 | Time: 12.73s | Batch_OA: 96.75 | Batch_mIoU: 49.36 | CE_loss: 0.256
[Train] Iter 1030/5000 | Time: 12.55s | Batch_OA: 97.32 | Batch_mIoU: 48.69 | CE_loss: 0.215
[Train] Iter 1040/5000 | Time: 12.74s | Batch_OA: 97.42 | Batch_mIoU: 49.01 | CE_loss: 0.322
[Train] Iter 1050/5000 | Time: 12.70s | Batch_OA: 97.14 | Batch_mIoU: 49.17 | CE_loss: 0.354
[Train] Iter 1060/5000 | Time: 11.95s | Batch_OA: 99.24 | Batch_mIoU: 49.62 | CE_loss: 0.178
[Train] Iter 1070/5000 | Time: 12.66s | Batch_OA: 95.68 | Batch_mIoU: 47.99 | CE_loss: 0.405
[Train] Iter 1080/5000 | Time: 12.43s | Batch_OA: 94.81 | Batch_mIoU: 48.04 | CE_loss: 0.368
[Train] Iter 1090/5000 | Time: 12.57s | Batch_OA: 94.38 | Batch_mIoU: 48.12 | CE_loss: 0.430
[Train] Iter 1100/5000 | Time: 12.10s | Batch_OA: 95.31 | Batch_mIoU: 48.40 | CE_loss: 0.321
[Train] Iter 1110/5000 | Time: 12.69s | Batch_OA: 93.84 | Batch_mIoU: 47.62 | CE_loss: 0.319
[Train] Iter 1120/5000 | Time: 12.65s | Batch_OA: 89.75 | Batch_mIoU: 46.34 | CE_loss: 0.368
[Train] Iter 1130/5000 | Time: 12.80s | Batch_OA: 92.25 | Batch_mIoU: 47.54 | CE_loss: 0.455
[Train] Iter 1140/5000 | Time: 11.96s | Batch_OA: 93.31 | Batch_mIoU: 47.90 | CE_loss: 0.336
[Train] Iter 1150/5000 | Time: 12.55s | Batch_OA: 89.22 | Batch_mIoU: 45.85 | CE_loss: 0.369
[Train] Iter 1160/5000 | Time: 12.48s | Batch_OA: 91.25 | Batch_mIoU: 46.58 | CE_loss: 0.278
[Train] Iter 1170/5000 | Time: 12.14s | Batch_OA: 96.42 | Batch_mIoU: 49.35 | CE_loss: 0.289
[Train] Iter 1180/5000 | Time: 12.65s | Batch_OA: 97.11 | Batch_mIoU: 49.12 | CE_loss: 0.314
